time,Average speed (km/h),Barometric pressure (kPa),Calculated boost (bar),Calculated engine load value (%),Distance travelled (km),Distance travelled (total) (km),Engine coolant temperature (℃),Engine RPM (rpm),Engine RPM x1000 (rpm),Intake manifold absolute pressure (kPa),Long term fuel % trim - Bank 1 (%),OBD Module Voltage (V),Short term fuel % trim - Bank 1 (%),Vehicle acceleration (g),Vehicle speed (km/h)
18,0.000000,101.257580,-0.455593,16.807016,0.000000,0.000000,22.216667,888.527247,0.888527,55.698289,1.614429,13.590019,3.329645,0.000000,0.000000
19,0.000000,101.912233,-0.474084,13.739004,0.000000,0.000000,22.333333,851.129632,0.851130,54.503820,-0.903095,13.590148,1.444177,0.000000,0.000000
20,0.000000,102.035084,-0.443994,19.425386,0.000000,0.000000,22.450000,796.368584,0.796369,57.635637,0.951957,14.154039,-2.171965,0.000000,0.000000
21,0.000000,101.570667,-0.457422,16.607489,0.000000,0.000000,22.566667,848.150832,0.848151,55.828453,-0.510535,13.481946,-1.717572,0.000000,0.000000
22,0.000000,100.962784,-0.460881,16.421362,0.000000,0.000000,22.683333,833.562494,0.833562,54.874662,0.983938,13.870618,-2.444731,0.000000,0.000000
23,0.000000,101.093074,-0.471122,13.567406,0.000000,0.000000,22.800000,856.432626,0.856433,53.980904,-0.833346,13.911039,0.141535,0.000000,0.000000
24,0.000000,101.093921,-0.479841,12.300783,0.000000,0.000000,22.916667,873.525193,0.873525,53.109800,-2.141383,13.863191,-1.869243,0.000000,0.000000
25,0.000000,101.430929,-0.440517,18.376835,0.000000,0.000000,23.033333,800.248517,0.800249,57.379207,1.619902,13.231710,1.489889,0.000000,0.000000
26,0.000000,100.984525,-0.457924,16.470875,0.000000,0.000000,23.150000,862.266216,0.862266,55.192117,-0.235938,13.654034,0.835302,0.000000,0.000000
27,0.000000,101.289559,-0.465181,13.832827,0.000000,0.000000,23.266667,808.937523,0.808938,54.771471,0.145259,13.870614,1.110086,0.000000,0.000000
28,0.000000,101.678152,-0.454903,18.681027,0.000000,0.000000,23.383333,807.202743,0.807203,56.187873,1.026828,13.620552,2.601497,0.000000,0.000000
29,0.000000,101.195226,-0.493406,12.436957,0.000000,0.000000,23.500000,781.902241,0.781902,51.854648,0.455435,13.682514,-1.198693,0.000000,0.000000
30,0.000000,100.989913,-0.440738,18.242868,0.000000,0.000000,23.616667,872.552805,0.872553,56.916127,-1.371397,13.757984,1.798451,0.000000,0.000000
31,0.000000,101.446835,-0.453755,15.779593,0.000000,0.000000,23.733333,850.187937,0.850188,56.071356,1.203248,12.992836,0.115626,0.000000,0.000000
32,0.000000,101.394552,-0.451692,18.426559,0.000000,0.000000,23.850000,871.502795,0.871503,56.225355,0.251223,13.753207,-1.450999,0.000000,0.000000
33,0.000000,101.185016,-0.447394,14.938785,0.000000,0.000000,23.966667,843.706058,0.843706,56.445653,-3.124268,13.905449,0.831758,0.000000,0.000000
34,0.000000,101.596986,-0.450660,18.109639,0.000000,0.000000,24.083333,888.501564,0.888502,56.531013,2.558516,14.019385,-1.669489,0.000000,0.000000
35,0.000000,101.568952,-0.482491,12.339401,0.000000,0.000000,24.200000,839.720746,0.839721,53.319851,1.236009,13.702090,-0.431003,0.000000,0.000000
36,0.000000,101.251780,-0.454174,17.320122,0.000000,0.000000,24.316667,835.060447,0.835060,55.834426,0.111565,13.814684,1.429174,0.000000,0.000000
37,0.000000,101.809386,-0.473039,15.217830,0.000000,0.000000,24.433333,833.249084,0.833249,54.505475,1.285613,13.965205,2.645220,0.000000,0.000000
38,0.000000,101.204571,-0.477829,13.207640,0.000000,0.000000,24.550000,850.569743,0.850570,53.421703,-1.504674,14.109566,-1.342912,0.000000,0.000000
39,0.000000,101.307373,-0.450780,16.840598,0.000000,0.000000,24.666667,804.234562,0.804235,56.229371,-2.317387,13.542401,0.759218,0.000000,0.000000
40,0.000000,101.180267,-0.436471,19.791916,0.000000,0.000000,24.783333,864.856003,0.864856,57.533155,-1.478954,13.811312,-0.305272,0.000000,0.000000
41,0.000000,101.381752,-0.465017,17.631251,0.000000,0.000000,24.900000,890.084231,0.890084,54.880004,-0.060299,13.753930,0.369594,0.000000,0.000000
42,0.000000,101.328855,-0.452071,18.354420,0.000000,0.000000,25.016667,820.762872,0.820763,56.121789,-0.002491,13.979971,1.245925,0.000000,0.000000
43,0.000000,101.056163,-0.472876,12.970811,0.000000,0.000000,25.133333,874.441118,0.874441,53.768608,-3.078026,13.783490,-3.116611,0.000000,0.000000
44,0.000000,101.186604,-0.484257,13.241155,0.000000,0.000000,25.250000,829.249259,0.829249,52.760886,-1.797634,13.470030,-0.049385,0.000000,0.000000
45,0.000000,100.974430,-0.478424,14.519437,0.000000,0.000000,25.366667,853.794775,0.853795,53.132031,1.669694,14.416792,1.864359,0.000000,0.000000
46,0.000000,101.692038,-0.474200,12.189270,0.000000,0.000000,25.483333,847.723746,0.847724,54.272031,1.233841,13.941100,-0.572589,0.000000,0.000000
47,0.000000,101.843008,-0.480984,13.921010,0.000000,0.000000,25.600000,874.483429,0.874483,53.744632,-1.459749,13.931623,-1.170532,0.000000,0.000000
48,0.000000,100.645334,-0.463145,18.913038,0.000000,0.000000,25.716667,818.329944,0.818330,54.330810,1.618622,13.663845,-2.487886,0.000000,0.000000
49,0.000000,101.041108,-0.452123,17.531591,0.000000,0.000000,25.833333,840.462246,0.840462,55.828809,-1.143955,13.594448,-2.931138,0.000000,0.000000
50,0.000000,101.158613,-0.452356,16.136659,0.000000,0.000000,25.950000,829.237828,0.829238,55.923050,1.051919,13.787979,1.083144,0.000000,0.000000
51,0.000000,101.060386,-0.483474,13.169492,0.000000,0.000000,26.066667,849.390372,0.849390,52.713026,0.643393,13.650798,0.781589,0.000000,0.000000
52,0.000000,101.292234,-0.444452,18.903489,0.000000,0.000000,26.183333,855.059558,0.855060,56.847018,-1.698365,13.252992,-0.160827,0.000000,0.000000
53,0.000000,101.722558,-0.453983,17.829605,0.000000,0.000000,26.300000,870.416421,0.870416,56.324209,1.266239,13.744131,0.678239,0.000000,0.000000
54,0.000000,101.046019,-0.462576,17.100327,0.000000,0.000000,26.416667,881.804476,0.881804,54.788397,-0.563520,14.103660,1.554523,0.000000,0.000000
55,0.000000,100.936833,-0.474626,12.136017,0.000000,0.000000,26.533333,811.679612,0.811680,53.474183,-0.047990,13.700404,-3.304159,0.000000,0.000000
56,0.000000,101.591136,-0.444896,18.170199,0.000000,0.000000,26.650000,877.772919,0.877773,57.101513,4.233788,13.266502,1.801711,0.000000,0.000000
57,0.000000,101.343924,-0.453685,19.173321,0.000000,0.000000,26.766667,820.235312,0.820235,55.975450,1.986998,13.973605,-5.769178,0.000000,0.000000
58,0.000000,101.005607,-0.450106,16.448071,0.000000,0.000000,26.883333,805.757958,0.805758,55.995010,-3.196776,13.625545,1.655587,0.000000,0.000000
59,0.000000,101.477678,-0.467140,14.785858,0.000000,0.000000,27.000000,858.067940,0.858068,54.763667,1.094635,14.070394,2.035756,0.000000,0.000000
60,0.000000,101.279064,-0.439711,17.882413,0.000000,0.000000,27.116667,815.242768,0.815243,57.307960,-0.175875,14.087036,-3.179904,0.000000,0.000000
61,0.000000,100.905580,-0.478405,14.002560,0.000000,0.000000,27.233333,839.390738,0.839391,53.065118,-0.641806,13.401062,-2.258026,0.000000,0.000000
62,0.000000,100.992437,-0.453098,15.940706,0.000000,0.000000,27.350000,770.519164,0.770519,55.682660,2.894607,13.394502,1.545872,0.000000,0.000000
63,0.000000,100.973385,-0.455976,17.204661,0.000000,0.000000,27.466667,805.580277,0.805580,55.375762,-0.209670,13.683760,0.037723,0.000000,0.000000
64,0.000000,101.582747,-0.456786,17.955069,0.000000,0.000000,27.583333,863.873237,0.863873,55.904167,1.860712,14.015193,1.671913,0.000000,0.000000
65,0.000000,101.783430,-0.468836,12.556581,0.000000,0.000000,27.700000,799.234548,0.799235,54.899855,0.717330,13.735482,1.909234,0.000000,0.000000
66,0.000000,101.552567,-0.437768,18.477920,0.000000,0.000000,27.816667,819.289447,0.819289,57.775735,3.262080,13.903917,-0.877059,0.000000,0.000000
67,0.000000,101.589125,-0.435553,19.057922,0.000000,0.000000,27.933333,889.818547,0.889819,58.033793,-1.189309,13.845442,2.400141,0.000000,0.000000
68,0.000000,101.045055,-0.469422,16.168720,0.000000,0.000000,28.050000,873.162539,0.873163,54.102822,-0.958512,13.637678,-3.566475,0.000000,0.000000
69,0.000000,101.668559,-0.485200,14.000726,0.000000,0.000000,28.166667,869.818103,0.869818,53.148598,-0.994783,13.541209,2.227155,0.000000,0.000000
70,0.000000,101.121324,-0.471368,15.675177,0.000000,0.000000,28.283333,889.374221,0.889374,53.984480,1.911946,13.712278,3.051991,0.000000,0.000000
71,0.000000,101.659127,-0.486787,12.549746,0.000000,0.000000,28.400000,883.736158,0.883736,52.980385,2.296040,13.840679,0.163669,0.000000,0.000000
72,0.000000,101.071885,-0.448524,17.703055,0.000000,0.000000,28.516667,885.234060,0.885234,56.219516,0.776922,13.701984,2.890551,0.000000,0.000000
73,0.000000,101.346354,-0.443035,18.745271,0.000000,0.000000,28.633333,855.515773,0.855516,57.042838,2.673456,14.185893,-1.498980,0.000000,0.000000
74,0.000000,101.142478,-0.459842,14.125824,0.000000,0.000000,28.750000,797.911015,0.797911,55.158324,2.095422,13.897498,2.793536,0.000000,0.000000
75,0.000000,101.297884,-0.462100,19.450713,0.000000,0.000000,28.866667,829.593568,0.829594,55.087854,-0.153221,13.759552,-0.948360,0.000000,0.000000
76,0.000000,102.164491,-0.447548,18.795205,0.000000,0.000000,28.983333,861.597661,0.861598,57.409683,-1.365983,13.652979,1.648156,0.000000,0.000000
77,0.000000,101.309950,-0.468940,14.439157,0.000000,0.000000,29.100000,877.014809,0.877015,54.415965,0.597609,13.494168,2.290021,0.000000,0.000000
78,0.000000,101.257247,-0.467796,15.237829,0.000000,0.000000,29.216667,796.716516,0.796717,54.477666,0.055076,13.643638,0.021023,0.000000,0.000000
79,0.000000,101.814326,-0.477601,13.916615,0.000000,0.000000,29.333333,872.910961,0.872911,54.054224,-0.025643,13.027909,1.338205,0.000000,0.000000
80,0.000000,101.461616,-0.479830,13.857049,0.000000,0.000000,29.450000,849.832743,0.849833,53.478639,-1.244661,13.146391,4.066181,0.000000,0.000000
81,0.000000,101.560600,-0.468610,12.478006,0.000000,0.000000,29.566667,842.800648,0.842801,54.699613,0.596283,14.136560,-1.739656,0.000000,0.000000
82,0.000000,101.342092,-0.447546,16.907366,0.000000,0.000000,29.683333,850.744547,0.850745,56.587523,-2.243566,13.750599,0.893834,0.000000,0.000000
83,0.000000,100.970529,-0.461846,14.808088,0.000000,0.000000,29.800000,867.644876,0.867645,54.785934,-2.853849,13.767109,-3.361623,0.000000,0.000000
84,0.000000,101.348720,-0.456334,15.089923,0.000000,0.000000,29.916667,836.711558,0.836712,55.715315,0.772709,13.807353,-0.800241,0.000000,0.000000
85,0.000000,101.462311,-0.425018,19.210164,0.000000,0.000000,30.033333,878.243405,0.878243,58.960498,1.080260,13.528344,-1.087441,0.000000,0.000000
86,0.000000,101.112964,-0.468392,12.932546,0.000000,0.000000,30.150000,837.064261,0.837064,54.273776,-1.601345,14.003342,2.038976,0.000000,0.000000
87,0.000000,100.952057,-0.459167,16.814905,0.000000,0.000000,30.266667,866.674589,0.866675,55.035373,-0.218713,14.475299,-1.546251,0.000000,0.000000
88,0.000000,101.937264,-0.465529,15.409585,0.000000,0.000000,30.383333,874.619067,0.874619,55.384407,-1.220739,13.130356,2.995122,0.000000,0.000000
89,0.000000,102.020547,-0.466869,14.160032,0.000000,0.000000,30.500000,801.308116,0.801308,55.333676,-0.105076,14.256651,-0.981525,0.000000,0.000000
90,0.000000,100.685948,-0.484576,12.368966,0.000000,0.000000,30.616667,796.577782,0.796578,52.228327,0.491764,13.608303,1.589495,0.000000,0.000000
91,0.000000,100.911616,-0.448277,17.534719,0.000000,0.000000,30.733333,873.040651,0.873041,56.083873,0.144752,13.511596,-0.436028,0.000000,0.000000
92,0.000000,101.340778,-0.466103,15.879306,0.000000,0.000000,30.850000,837.564031,0.837564,54.730486,-0.739235,13.909475,1.712143,0.000000,0.000000
93,0.000000,101.633535,-0.453213,15.968932,0.000000,0.000000,30.966667,831.257502,0.831258,56.312211,2.483724,14.151856,1.690340,0.000000,0.000000
94,0.000000,101.176282,-0.483547,12.783071,0.000000,0.000000,31.083333,826.510949,0.826511,52.821609,0.570743,14.293108,1.046976,0.000000,0.000000
95,0.000000,101.262198,-0.436499,19.646630,0.000000,0.000000,31.200000,837.795915,0.837796,57.612333,2.421987,14.342639,-0.881257,0.000000,0.000000
96,0.000000,100.929814,-0.480726,13.897103,0.000000,0.000000,31.316667,833.018134,0.833018,52.857203,-1.488184,14.318805,-1.457442,0.000000,0.000000
97,0.000000,100.873467,-0.479039,12.277176,0.000000,0.000000,31.433333,894.985270,0.894985,52.969562,0.375544,13.882358,-0.375155,0.000000,0.000000
98,0.000000,101.726583,-0.453246,15.628138,0.000000,0.000000,31.550000,852.769908,0.852770,56.401960,-0.401517,13.965058,-0.175895,0.000000,0.000000
99,0.000000,100.970565,-0.444328,16.798378,0.000000,0.000000,31.666667,846.312225,0.846312,56.537814,2.347376,13.528604,1.598420,0.000000,0.000000
100,0.000000,101.867463,-0.472189,14.938500,0.000000,0.000000,31.783333,897.222688,0.897223,54.648522,-2.099307,13.634745,-1.246526,0.000000,0.000000
101,0.000000,101.371205,-0.457299,17.684678,0.000000,0.000000,31.900000,811.008580,0.811009,55.641332,-2.490118,13.466723,3.081714,0.000000,0.000000
102,0.000000,100.837768,-0.445578,19.419761,0.000000,0.000000,32.016667,817.221359,0.817221,56.279975,1.251949,14.055880,-1.828247,0.000000,0.000000
103,0.000000,100.856025,-0.465965,14.137719,0.000000,0.000000,32.133333,856.902028,0.856902,54.259540,-0.941277,13.613834,1.115716,0.000000,0.000000
104,0.000000,101.533380,-0.466319,16.674137,0.000000,0.000000,32.250000,834.455144,0.834455,54.901497,-4.002424,13.673646,-2.751833,0.000000,0.000000
105,0.000000,101.495439,-0.444310,17.504326,0.000000,0.000000,32.366667,858.670483,0.858670,57.064418,0.087650,13.837612,1.087160,0.000000,0.000000
106,0.000000,100.808869,-0.480909,13.361853,0.000000,0.000000,32.483333,860.344226,0.860344,52.718013,1.305595,14.016339,-0.237668,0.000000,0.000000
107,0.000000,100.797110,-0.458310,18.778651,0.000000,0.000000,32.600000,876.063359,0.876063,54.966112,-0.126271,13.367103,0.547193,0.000000,0.000000
108,0.000000,101.271376,-0.458740,18.374103,0.000000,0.000000,32.716667,891.598263,0.891598,55.397389,-1.004177,13.938864,5.581678,0.000000,0.000000
109,0.000000,101.038473,-0.449675,18.575471,0.000000,0.000000,32.833333,869.453736,0.869454,56.070983,-1.335159,13.778336,-4.519754,0.000000,0.000000
110,0.000000,101.227515,-0.440135,17.509548,0.000000,0.000000,32.950000,851.688358,0.851688,57.214028,0.007486,13.812182,-0.530928,0.000000,0.000000
111,0.000000,101.217775,-0.441900,17.614582,0.000000,0.000000,33.066667,860.543486,0.860543,57.027809,-1.424238,14.421166,-0.004300,0.000000,0.000000
112,0.000000,101.588802,-0.456111,18.072729,0.000000,0.000000,33.183333,837.267377,0.837267,55.977729,0.508613,13.649247,2.216792,0.000000,0.000000
113,0.000022,101.860032,-0.446809,19.982467,0.000000,0.000000,33.300000,890.818663,0.890819,57.179164,-0.542227,14.001346,-1.767556,0.000008,0.000022
114,0.000191,101.510608,-0.446133,18.960229,0.000000,0.000000,33.416667,826.223872,0.826224,56.897279,-0.275250,13.730957,-1.684005,0.000062,0.000191
115,0.001103,102.162098,-0.476269,14.296389,0.000000,0.000000,33.533333,828.325570,0.828326,54.535148,-1.963111,13.980493,-1.006135,0.000334,0.001103
116,0.004952,101.134976,-0.471960,17.195082,0.000001,0.000001,33.650000,857.488641,0.857489,53.938956,0.370089,14.012710,-3.472630,0.001413,0.004952
117,0.017850,100.887611,-0.475809,13.100899,0.000003,0.000004,33.766667,893.457274,0.893457,53.306691,0.469716,14.003224,1.382170,0.004733,0.017850
118,0.052455,101.588831,-0.468830,14.050852,0.000010,0.000014,33.883333,887.640796,0.887641,54.705788,-1.179559,13.453220,1.200107,0.012699,0.052455
119,0.127615,101.072468,-0.468079,14.531195,0.000025,0.000039,34.000000,819.926610,0.819927,54.264526,2.546035,14.319646,0.707323,0.027582,0.127615
120,0.261781,101.268686,-0.450335,16.802537,0.000054,0.000093,34.116667,841.705394,0.841705,56.235186,1.472375,13.759008,-1.664907,0.049235,0.261781
121,0.462811,101.025034,-0.462608,15.345343,0.000101,0.000194,34.233333,830.634136,0.830634,54.764209,1.810240,13.152170,-1.850145,0.073772,0.462811
122,0.722846,101.463242,-0.454739,15.474250,0.000165,0.000358,34.350000,841.504401,0.841504,55.989360,-0.195097,13.332384,4.043507,0.095426,0.722846
123,1.023437,100.836784,-0.506344,12.577571,0.000243,0.000601,34.466667,974.351527,0.974352,50.202399,-2.811097,14.061003,0.556398,0.110308,1.023437
124,1.345734,101.291839,-0.469568,14.680394,0.000329,0.000930,34.583333,943.117478,0.943117,54.335002,1.490272,13.811890,2.711819,0.118274,1.345734
125,1.677080,100.984620,-0.469260,15.870943,0.000420,0.001350,34.700000,1053.595944,1.053596,54.058657,-1.136183,13.633427,-0.096049,0.121595,1.677080
126,2.011364,101.696179,-0.469511,13.340376,0.000512,0.001862,34.816667,1031.007820,1.031008,54.745088,1.371840,13.890237,-3.215461,0.122673,2.011364
127,2.346391,101.162624,-0.473968,14.094563,0.000605,0.002467,34.933333,1074.255813,1.074256,53.765789,-0.429525,14.488199,3.144669,0.122946,2.346391
128,2.681564,101.269587,-0.480141,12.359933,0.000698,0.003166,35.050000,1035.554536,1.035555,53.255501,0.129308,13.917476,-0.992105,0.122999,2.681564
129,3.016760,101.146463,-0.488315,12.253014,0.000791,0.003957,35.166667,1002.602036,1.002602,52.314921,-1.281504,13.374959,-1.389824,0.123008,3.016760
130,3.351955,101.333328,-0.454285,17.456880,0.000885,0.004842,35.283333,1101.317314,1.101317,55.904805,3.044213,13.929909,0.985881,0.123008,3.351955
131,3.687151,101.238621,-0.444531,18.378301,0.000978,0.005819,35.400000,1099.725335,1.099725,56.785479,-0.450747,13.633513,-0.413914,0.123008,3.687151
132,4.022346,100.968346,-0.438161,24.868179,0.001071,0.006890,35.516667,1130.715730,1.130716,57.152279,0.379580,13.714584,0.401996,0.123008,4.022346
133,4.357542,101.453165,-0.451920,18.287044,0.001164,0.008054,35.633333,1243.903294,1.243903,56.261135,5.362877,14.332851,-3.997217,0.123008,4.357542
134,4.692737,101.516857,-0.434377,21.742546,0.001257,0.009311,35.750000,1201.846614,1.201847,58.079158,2.493509,14.266587,-1.639285,0.123008,4.692737
135,5.027933,101.297118,-0.429137,21.808994,0.001350,0.010661,35.866667,1210.306675,1.210307,58.383422,0.053114,13.918007,3.253913,0.123008,5.027933
136,5.363128,100.531370,-0.436603,20.428871,0.001443,0.012104,35.983333,1260.893646,1.260894,56.871041,-1.746165,14.133281,0.258429,0.123008,5.363128
137,5.698324,101.130887,-0.422893,20.291568,0.001536,0.013641,36.100000,1258.397017,1.258397,58.841572,-1.024036,13.925528,0.365042,0.123008,5.698324
138,6.033520,101.715521,-0.435233,19.782179,0.001629,0.015270,36.216667,1396.153230,1.396153,58.192258,1.435327,14.265742,0.007788,0.123008,6.033520
139,6.368715,101.567227,-0.391805,26.047737,0.001723,0.016992,36.333333,1328.427669,1.328428,62.386731,-1.088007,13.024981,-3.856901,0.123008,6.368715
140,6.703911,101.454117,-0.399014,26.576047,0.001816,0.018808,36.450000,1254.729020,1.254729,61.552679,-1.426425,13.701133,1.168616,0.123008,6.703911
141,7.039106,101.846312,-0.410866,25.944140,0.001909,0.020717,36.566667,1313.705899,1.313706,60.759685,-1.858084,14.156607,0.597024,0.123008,7.039106
142,7.374302,101.453698,-0.423229,22.257410,0.002002,0.022719,36.683333,1481.471519,1.481472,59.130778,-0.255980,14.469428,-4.699079,0.123008,7.374302
143,7.709497,101.461301,-0.411138,25.729659,0.002095,0.024814,36.800000,1470.875920,1.470876,60.347453,-0.483082,13.907681,-2.243507,0.123008,7.709497
144,8.044693,101.699912,-0.455343,20.471065,0.002188,0.027002,36.916667,1366.379385,1.366379,56.165599,-2.768058,14.222632,2.941391,0.123008,8.044693
145,8.379888,101.155472,-0.424117,26.926192,0.002281,0.029283,37.033333,1561.642214,1.561642,58.743776,-1.186695,14.136307,-3.130788,0.123008,8.379888
146,8.715084,101.571879,-0.413219,24.863969,0.002374,0.031657,37.150000,1592.017980,1.592018,60.250027,-0.770536,14.169847,0.962005,0.123008,8.715084
147,9.050279,101.346569,-0.406142,25.515105,0.002467,0.034125,37.266667,1618.839924,1.618840,60.732355,-0.571227,14.398823,1.316428,0.123008,9.050279
148,9.385475,102.125267,-0.391053,28.131786,0.002561,0.036685,37.383333,1564.023409,1.564023,63.019965,-0.695790,13.955023,0.180702,0.123008,9.385475
149,9.720670,100.602827,-0.417764,22.464200,0.002654,0.039339,37.500000,1657.052374,1.657052,58.826408,0.495282,14.347132,2.076423,0.123008,9.720670
150,10.055866,100.954867,-0.402854,26.862529,0.002747,0.042086,37.616667,1684.023284,1.684023,60.669486,-0.455781,14.013071,0.949105,0.123008,10.055866
151,10.391061,101.255630,-0.387586,28.458998,0.002840,0.044925,37.733333,1670.032992,1.670033,62.497018,1.345181,14.007112,-0.225860,0.123008,10.391061
152,10.726257,101.284867,-0.401475,28.257571,0.002933,0.047858,37.850000,1672.693272,1.672693,61.137332,-0.744710,14.350346,0.380283,0.123008,10.726257
153,11.061453,101.020185,-0.383765,28.525561,0.003026,0.050884,37.966667,1677.186255,1.677186,62.643718,1.543862,14.421217,1.606565,0.123008,11.061453
154,11.396648,100.490547,-0.407245,26.726741,0.003119,0.054004,38.083333,1725.098818,1.725099,59.766087,-0.373364,14.061279,-2.111320,0.123008,11.396648
155,11.731844,101.602857,-0.381719,28.082185,0.003212,0.057216,38.200000,1769.802809,1.769803,63.430963,1.685663,14.030101,-2.523889,0.123008,11.731844
156,12.067039,101.557831,-0.383720,29.116322,0.003305,0.060521,38.316667,1863.443691,1.863444,63.185831,1.289213,14.314541,0.981925,0.123008,12.067039
157,12.402235,101.004487,-0.427137,24.924506,0.003399,0.063920,38.433333,1781.990857,1.781991,58.290740,-2.636853,14.327388,2.100658,0.123008,12.402235
158,12.737430,101.491710,-0.409149,26.601012,0.003492,0.067411,38.550000,1768.038490,1.768038,60.576807,-1.096958,14.213656,-0.610693,0.123008,12.737430
159,13.072626,101.425544,-0.409638,26.808519,0.003585,0.070996,38.666667,1866.153711,1.866154,60.461700,-0.148103,14.537452,-0.106135,0.123008,13.072626
160,13.407821,101.187654,-0.415230,26.135209,0.003678,0.074674,38.783333,1949.807819,1.949808,59.664629,2.430654,14.205562,1.327685,0.123008,13.407821
161,13.743017,101.094806,-0.395540,26.166199,0.003771,0.078445,38.900000,1986.866288,1.986866,61.540810,1.951553,14.332275,-2.317808,0.123008,13.743017
162,14.078212,101.242703,-0.389138,28.102344,0.003864,0.082309,39.016667,2070.135388,2.070135,62.328947,-1.260031,14.100588,-1.801058,0.123008,14.078212
163,14.413408,101.555544,-0.380318,30.592824,0.003957,0.086266,39.133333,1953.323217,1.953323,63.523709,-0.964450,14.273410,2.287583,0.123008,14.413408
164,14.748603,100.998941,-0.397149,27.206871,0.004050,0.090317,39.250000,2084.052027,2.084052,61.284081,0.480767,14.173252,1.006906,0.123008,14.748603
165,15.083799,101.130422,-0.402919,23.253970,0.004143,0.094460,39.366667,2045.822165,2.045822,60.838496,1.075122,13.946807,0.412206,0.123008,15.083799
166,15.418994,101.413411,-0.364255,31.096485,0.004236,0.098696,39.483333,2124.005172,2.124005,64.987894,-1.175900,14.259692,-1.540209,0.123008,15.418994
167,15.754190,101.151835,-0.368411,31.515461,0.004330,0.103026,39.600000,2078.847137,2.078847,64.310761,1.742893,14.098117,1.062553,0.123008,15.754190
168,16.089385,101.418997,-0.385899,30.075115,0.004423,0.107449,39.716667,2109.748629,2.109749,62.829108,3.075009,14.075070,-2.182794,0.123008,16.089385
169,16.424581,101.487097,-0.354437,33.394612,0.004516,0.111965,39.833333,2192.486961,2.192487,66.043435,-1.487530,13.832395,-0.382202,0.123008,16.424581
170,16.759777,101.504575,-0.383676,28.956241,0.004609,0.116573,39.950000,2201.701839,2.201702,63.136951,2.665794,14.163687,-1.516141,0.123008,16.759777
